Name,Code,Cat Code,Parent Manufacturer
Beckett,BECK,PT_CATBECKETT,
Original Bee'S Wax,BEEW,PT_CAT375082,
Berg,BEG,PT_CAT229707,
Berry Global,BEGL,PT_CAT374571,
Bell And Gossett,BEGO,PT_CATBELLANDGOSSETT,
Beha-Hedo,BEH,PT_CAT223810,
Belshaw,BEL,PT_CAT1020,Aligroup
Belleco,BELC,PT_CAT48071,
Bell Outdoor,BELO,PT_CAT374832,
Benton Foundry,BENT,PT_CATBENTONFOUNDRY,
Be Power Equipment,BEPE,PT_CAT375544,
Berkel,BER,PT_CAT1021,
Berk,BERK,PT_CAT375756,
Bertazzoni,BERT,PT_CAT235505,
Best Value Textiles,BES,PT_CATBESTVALUETEXTILES,
Besco,BESC,PT_CAT281870,
Best Sanitizers Inc,BESI,PT_CAT374835,
Bettcher,BET,PT_CATBETTCHER,
Bessey Tools,BETL,PT_CAT374834,
Beverage Air,BEV,PT_CAT1022,Aligroup
Buffet Burner,BFBR,PT_CAT374606,
Buffet Enhancement,BFEH,PT_CAT374696,
Bedford,BFOR,PT_CAT374464,
Bradford White,BFW,PT_CAT223960,
Big Boss Ii,BGBS,PT_CAT374220,
"Big Dipper/Thermaco, Inc",BGDP,PT_CATBIGDIPPERTHERMACOINC,
Thermaco Big Dipper,BGDP,PT_CAT223720,
Bright Air,BGHT,PT_CAT235546,
"Bugambilia International,",BGIN,PT_CAT374674,
Bongard,BGO,PT_CAT223924,
Briggs & Stratton,BGST,PT_CAT375492,
Behold,BHLD,PT_CAT374218,
Brighton Best,BHTB,PT_CAT375550,
Bia Cordon Bleu,BIAS,PT_CAT374467,
Big D,BIGD,PT_CAT235541,
Big Ten,BIGT,PT_CAT235635,
Bi-Line Systems,BILN,PT_CATBILINESYSTEMS,
Birmingham,BIRM,PT_CAT375877,
Biro,BIRO,PT_CAT48073,ITW
Bissell,BISS,PT_CAT235462,
Bizerba,BIZ,PT_CAT321410,
Big John,BJO,PT_CAT224095,
Bakedeco,BKDO,PT_CAT374059,
Black & Decker,BKDR,PT_CAT374840,
B & K Equipment,BKEQ,PT_CATBKEQUIPMENT,
Baker Instruments,BKER,PT_CAT235672,
Beko,BKHA,PT_CAT375955,
Bunkerhead,BKHD,PT_CAT374849,
Buckhorn,BKHN,PT_CATBUCKHORN,
BKI,BKI,PT_CAT1023,Middleby
Blackstone Industries,BKIN,PT_CAT235543,
Bakon USA,BKN,PT_CATBAKONUSA,
Bakers Pride,BKP,PT_CAT1024,Middleby
